,NAME,B15003_001E,B15003_002E,B15003_003E,B15003_004E,B15003_005E,B15003_006E,B15003_008E,B15003_009E,B15003_010E,B15003_011E,B15003_012E,B15003_013E,B15003_014E,B15003_015E,B15003_016E,B15003_017E,B15003_018E,B15003_019E,B15003_020E,B15003_021E,B15003_022E,B15003_023E,B15003_024E,B15003_025E,B01001_001E,B01001_002E,B01001_005E,B01001_006E,B01001_007E,B01001_026E,B01001_029E,B01001_030E,B01001_031E,state,zip code tabulation area
1629,ZCTA5 10013,21420,664,0,0,57,32,70,36,1111,71,222,556,348,132,372,1411,245,263,1006,595,8392,4075,1216,395,28799,14164,705,83,242,14635,439,179,303,36,10013
1630,ZCTA5 10014,26002,47,0,0,0,0,0,0,1,0,0,32,28,103,103,1280,147,498,1173,439,11659,7350,2053,1089,30344,14944,271,154,93,15400,303,183,73,36,10014
1631,ZCTA5 12466,1861,1,0,0,0,0,0,0,0,0,0,2,0,35,8,514,26,120,302,257,362,178,40,16,2241,1148,62,27,0,1093,33,19,0,36,12466
1632,ZCTA5 12468,789,15,0,0,0,0,0,0,8,0,3,17,21,5,18,294,64,45,83,75,74,44,23,0,998,532,10,14,21,466,9,18,5,36,12468
1633,ZCTA5 12469,495,6,0,0,0,2,6,0,0,0,25,4,0,25,11,179,29,25,34,36,69,44,0,0,607,322,4,18,4,285,19,12,8,36,12469
1634,ZCTA5 12474,851,11,0,0,0,0,0,0,0,0,0,0,4,25,11,242,82,12,120,85,165,81,5,8,1035,533,29,5,0,502,39,30,22,36,12474
1635,ZCTA5 12480,508,0,0,0,0,0,0,0,0,0,11,11,0,0,0,137,41,17,67,61,105,58,0,0,588,274,0,23,0,314,0,13,0,36,12480
1636,ZCTA5 12487,2502,11,0,0,0,0,0,0,0,16,34,0,43,0,31,860,75,82,257,358,398,197,140,0,3370,1613,72,55,86,1757,73,69,9,36,12487
1637,ZCTA5 12496,1169,34,0,0,0,0,0,6,3,0,4,4,15,17,6,468,53,61,138,121,148,80,8,3,1456,721,64,24,34,735,9,19,4,36,12496
1638,ZCTA5 12501,1698,38,0,0,0,0,0,0,66,61,0,42,30,150,8,401,95,74,131,117,241,197,47,0,2645,1229,60,76,53,1416,112,49,51,36,12501
1639,ZCTA5 12502,892,20,0,0,0,0,0,0,0,0,7,37,14,15,12,314,13,34,52,122,134,69,38,11,1138,605,15,15,0,533,17,12,20,36,12502
1640,ZCTA5 12543,2500,60,0,0,0,0,0,20,0,0,51,39,11,33,56,514,177,149,436,385,403,151,10,5,3535,1601,31,48,8,1934,130,93,95,36,12543
1641,ZCTA5 12548,1010,29,0,0,0,0,0,0,0,0,23,19,0,0,18,375,33,39,100,77,154,123,0,20,1306,677,80,0,22,629,34,10,0,36,12548
1642,ZCTA5 12550,36143,455,0,38,74,11,36,218,582,184,427,695,917,1096,637,9513,2117,1818,4873,3394,5144,2958,579,314,55149,26746,1760,1104,752,28403,1713,949,896,36,12550
1643,ZCTA5 12561,10475,18,9,0,0,0,0,0,40,3,231,17,128,61,14,1527,263,417,1186,1015,2393,2213,505,435,18713,8294,540,375,405,10419,302,290,1270,36,12561
1644,ZCTA5 12566,8077,82,0,0,0,0,0,0,48,0,0,188,151,122,64,2617,150,511,1096,1145,1122,678,79,24,11571,5470,258,239,53,6101,385,143,109,36,12566
1645,ZCTA5 10023,50610,307,0,17,0,0,65,68,10,126,123,106,177,125,137,3071,540,703,3056,1048,17062,14500,6522,2847,62541,27546,1100,409,470,34995,808,715,540,36,10023
1646,ZCTA5 10024,46577,187,0,14,22,0,8,0,46,100,65,469,273,153,432,2049,444,580,2210,1122,16823,12925,6079,2374,58102,25561,907,728,234,32541,1406,530,189,36,10024
1647,ZCTA5 10032,47772,1554,0,6,63,158,771,503,2032,394,2324,1033,1412,1790,1479,6989,2090,1570,5517,2431,9445,3627,1027,988,63214,31543,1468,749,416,31671,807,759,554,36,10032
1648,ZCTA5 10112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10112
1649,ZCTA5 10152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10152
1650,ZCTA5 10177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,10177
1651,ZCTA5 10306,39175,633,0,0,116,16,32,106,183,205,198,331,444,742,1035,11236,1903,2312,4784,2826,7068,3915,777,292,53877,25395,1206,874,790,28482,1763,966,581,36,10306
1652,ZCTA5 10461,36200,1375,0,22,47,59,180,558,492,154,608,591,737,1009,902,8276,1693,1608,4325,3169,6279,2726,569,703,49690,24036,1493,752,479,25654,1430,556,393,36,10461
1653,ZCTA5 10504,5374,27,0,0,0,0,0,0,9,0,9,31,0,62,23,225,9,117,329,142,1828,1556,725,282,8196,4130,419,259,82,4066,317,239,103,36,10504
1654,ZCTA5 10511,1540,15,0,0,0,0,14,0,28,0,22,5,11,13,22,332,61,131,188,193,306,151,34,14,2166,1127,61,52,7,1039,49,39,51,36,10511
1655,ZCTA5 10512,18268,160,0,0,0,0,18,200,54,0,79,66,296,175,276,4829,553,941,1793,1643,4063,2518,329,225,24672,11556,807,471,213,13116,968,429,239,36,10512
1656,ZCTA5 10528,9390,33,0,0,0,0,31,101,42,0,38,36,88,104,192,1955,89,249,940,646,2702,1579,436,129,13182,6264,382,231,43,6918,352,244,69,36,10528
1657,ZCTA5 10530,9667,23,0,0,0,39,0,0,10,0,17,6,44,46,79,1064,99,306,687,507,2972,2704,771,273,12268,5645,275,82,161,6623,196,196,113,36,10530
